Coder,Dir,Image,Modified,Object,Comments,ObjectCount,StudyRelated,Food,Clothing,Toy,Book,Electronic,Plant,Animal,ToolWork,ToolMealtime,OtherLargeImmovable,OtherSynthetic,OtherNatural,None,Exclude,Unsure,Flagged,Skipped
Annotator,BER38-14moF,000000.00.gif,2022-02-16 12:01:34,,sippy cup in lap but i don't think there's hand contact,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000005.00.gif,2022-02-16 12:01:46,,sippy cup in lap but i don't think there's hand contact,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000005.00_d1.gif,2022-02-16 09:09:25,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Annotator,BER38-14moF,000010.01.gif,2022-02-16 12:02:06,,sippy cup in lap but i don't think there's hand contact,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000015.02.gif,2022-02-16 12:02:18,,sippy cup in lap but i don't think there's hand contact,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000020.02.gif,2022-02-16 12:03:04,,indicating for firetruck but in caregiver's lap so maybe not reaching,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000025.02.gif,2022-02-16 12:03:16,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000030.03.gif,2022-02-16 12:03:28,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000035.00.gif,2022-02-16 12:03:47,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000040.01.gif,2022-02-16 12:03:53,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000045.01.gif,2022-02-16 12:04:09,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000050.02.gif,2022-02-16 12:04:20,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000055.02.gif,2022-02-16 12:05:33,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000100.03.gif,2022-02-16 12:05:33,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000105.03.gif,2022-02-16 12:05:34,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000110.00.gif,2022-02-16 12:05:35,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000115.01.gif,2022-02-16 12:05:35,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000120.01.gif,2022-02-16 12:05:36,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000125.02.gif,2022-02-16 12:05:37,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000130.02.gif,2022-02-16 12:05:37,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000135.03.gif,2022-02-16 12:05:43,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000140.03.gif,2022-02-16 12:07:10,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000145.00.gif,2022-02-16 12:07:11,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000150.01.gif,2022-02-16 12:07:12,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000155.01.gif,2022-02-16 12:07:12,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000200.02.gif,2022-02-16 12:07:13,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000205.02.gif,2022-02-16 12:07:13,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000210.03.gif,2022-02-16 12:07:14,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000215.00.gif,2022-02-16 12:07:14,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000220.01.gif,2022-02-16 12:07:15,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000225.01.gif,2022-02-16 12:07:16,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000230.02.gif,2022-02-16 12:07:16,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000235.02.gif,2022-02-16 12:07:17,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000240.03.gif,2022-02-16 12:09:01,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000245.03.gif,2022-02-16 12:09:02,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000250.00.gif,2022-02-16 12:09:02,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000255.01.gif,2022-02-16 12:09:03,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000300.01.gif,2022-02-16 12:09:04,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000305.02.gif,2022-02-16 12:09:04,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000310.02.gif,2022-02-16 12:09:05,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000315.03.gif,2022-02-16 12:09:06,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000320.03.gif,2022-02-16 12:09:06,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000325.00.gif,2022-02-16 12:09:07,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000330.01.gif,2022-02-16 12:09:08,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000335.01.gif,2022-02-16 12:09:09,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000340.02.gif,2022-02-16 12:09:10,toy firetruck,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000345.02.gif,2022-02-16 12:09:31,"sippy cup, juice",,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000350.03.gif,2022-02-16 12:09:46,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000355.00.gif,2022-02-16 12:09:57,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000400.01.gif,2022-02-16 17:08:03,toy ring,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000405.01.gif,2022-02-16 17:08:09,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000410.02.gif,2022-02-16 17:08:11,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000415.02.gif,2022-02-16 17:08:12,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000420.03.gif,2022-02-16 17:08:13,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000425.03.gif,2022-02-16 17:08:14,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000430.00.gif,2022-02-16 17:08:15,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000435.01.gif,2022-02-16 17:08:15,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000440.01.gif,2022-02-16 17:08:16,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000445.02.gif,2022-02-16 17:08:17,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000450.02.gif,2022-02-16 17:08:17,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000455.03.gif,2022-02-16 17:08:18,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000500.03.gif,2022-02-16 17:08:18,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000505.00.gif,2022-02-16 17:08:19,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000510.01.gif,2022-02-16 17:08:20,toy ring,out of frame,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000515.01.gif,2022-02-16 17:08:25,toy ring,"we lost sight of the ring for most of the previous images but it's pretty clear from the video that they've held onto it this whole time (i.e., it doesn't show up on the floor, arms are positioned in a way that seems like there's handling, etc.)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000520.02.gif,2022-02-16 12:13:10,toy ring,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000525.02.gif,2022-02-16 12:14:40,toy ring,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000530.03.gif,2022-02-16 12:14:51,toy ring,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000535.00.gif,2022-02-16 12:15:02,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000540.01.gif,2022-02-16 12:15:14,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000545.01.gif,2022-02-16 12:15:26,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000550.02.gif,2022-02-16 12:15:37,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000555.02.gif,2022-02-16 12:15:49,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000600.03.gif,2022-02-16 12:15:58,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000605.03.gif,2022-02-16 17:08:41,baby monitor,indicating,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000610.00.gif,2022-02-16 12:16:32,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000615.01.gif,2022-02-16 13:15:43,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000620.01.gif,2022-02-16 13:15:55,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000625.02.gif,2022-02-16 13:16:06,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000630.02.gif,2022-02-16 13:16:15,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000635.03.gif,2022-02-16 13:16:25,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000640.03.gif,2022-02-16 13:17:10,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000645.00.gif,2022-02-16 13:17:11,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000650.01.gif,2022-02-16 13:17:12,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000655.01.gif,2022-02-16 13:17:12,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000700.02.gif,2022-02-16 13:17:25,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000705.02.gif,2022-02-16 13:17:26,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000710.03.gif,2022-02-16 13:17:45,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000715.00.gif,2022-02-16 13:17:49,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000720.01.gif,2022-02-16 13:20:18,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000725.01.gif,2022-02-16 13:20:18,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000730.02.gif,2022-02-16 13:20:19,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000735.02.gif,2022-02-16 13:20:20,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000740.03.gif,2022-02-16 13:20:20,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000745.03.gif,2022-02-16 13:20:21,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000750.00.gif,2022-02-16 13:20:27,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000755.01.gif,2022-02-16 13:20:27,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000800.01.gif,2022-02-16 13:20:28,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000805.02.gif,2022-02-16 13:20:28,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000810.02.gif,2022-02-16 13:20:29,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000815.03.gif,2022-02-16 13:20:30,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000820.03.gif,2022-02-16 13:20:30,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000825.00.gif,2022-02-16 13:20:31,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000830.01.gif,2022-02-16 13:20:32,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000835.01.gif,2022-02-16 13:20:34,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000840.02.gif,2022-02-16 13:20:35,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000845.02.gif,2022-02-16 13:20:35,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000850.03.gif,2022-02-16 13:20:37,baby monitor,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000855.00.gif,2022-02-16 13:20:38,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000900.01.gif,2022-02-16 13:20:49,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000905.01.gif,2022-02-16 13:20:59,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000910.02.gif,2022-02-16 13:21:16,headcam,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000915.02.gif,2022-02-16 13:21:35,headband,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000920.03.gif,2022-02-16 13:21:51,headcam,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000925.03.gif,2022-02-16 13:22:02,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000930.00.gif,2022-02-16 13:22:37,"headcam, headband",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000935.01.gif,2022-02-16 13:22:38,"headcam, headband",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000940.01.gif,2022-02-16 13:22:50,"headcam, headband",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,000945.02.gif,2022-02-16 13:23:28,,hand to jacket contact but doesn't seem like handling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000950.02.gif,2022-02-16 13:23:29,,hand to jacket contact but doesn't seem like handling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,000955.03.gif,2022-02-16 13:23:41,,hand to jacket contact but doesn't seem like handling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001000.03.gif,2022-02-16 13:23:51,,hand to jacket contact but doesn't seem like handling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001005.00.gif,2022-02-16 13:24:02,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001010.01.gif,2022-02-16 13:24:13,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001015.01.gif,2022-02-16 13:24:23,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001020.02.gif,2022-02-16 13:24:40,"headcam, headband",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001025.02.gif,2022-02-16 13:24:52,"headcam, headband",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001030.03.gif,2022-02-16 13:25:04,"headcam, headband",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001035.00.gif,2022-02-16 13:25:14,"headcam, headband",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001040.01.gif,2022-02-16 13:25:24,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001045.01.gif,2022-02-16 13:25:35,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001050.02.gif,2022-02-16 13:25:48,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001055.02.gif,2022-02-16 13:26:05,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001100.03.gif,2022-02-16 13:26:15,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001105.03.gif,2022-02-16 13:26:26,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001110.00.gif,2022-02-16 13:26:37,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001115.01.gif,2022-02-16 13:26:47,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001120.01.gif,2022-02-16 17:08:47,jacket,ambiguous,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001125.02.gif,2022-02-16 13:27:18,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001130.02.gif,2022-02-16 13:27:28,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001135.03.gif,2022-02-16 13:27:38,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001140.03.gif,2022-02-16 13:27:48,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001145.00.gif,2022-02-16 13:27:58,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001150.01.gif,2022-02-16 13:28:10,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001155.01.gif,2022-02-16 13:28:20,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001200.02.gif,2022-02-16 13:28:30,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001205.02.gif,2022-02-16 13:28:40,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001210.03.gif,2022-02-16 13:28:51,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001215.00.gif,2022-02-16 13:29:02,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001220.01.gif,2022-02-16 13:29:19,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001225.01.gif,2022-02-16 13:29:19,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001230.02.gif,2022-02-16 13:29:31,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Annotator,BER38-14moF,001235.02.gif,2022-02-16 13:29:45,jacket,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001240.03.gif,2022-02-16 13:30:16,zipper,jacket zipper,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001245.03.gif,2022-02-16 13:30:28,zipper,jacket zipper,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annotator,BER38-14moF,001250.00.gif,2022-02-16 13:30:38,zipper,jacket zipper,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
